id,serial_number,material_name,specification,unit,quantity,unit_price,total_price,category,is_matched,is_analyzed,is_problematic
1,,混凝土C30,商品混凝土,m³,100.0,450.0,,,False,False,False
2,,钢筋HRB400,直径12mm,吨,5.0,4500.0,,,False,False,False
3,,砖,240×115×53mm,千块,20.0,350.0,,,False,False,False
5,,配管,"1.名称:塑料管PE32
2.配置形式:埋地敷设",m,444.5,7.64,0.0,,True,False,False
6,,配管,"1.名称:塑料管PE50
2.配置形式:埋地敷设",m,537.5,13.46,0.0,,True,False,False
7,,配管,"1.名称:钢管SC32
2.配置形式:砖、混凝土结构暗配",m,44.4,63.4,0.0,,True,False,False
8,,配管,"1.名称:钢管SC50
2.配置形式:埋地敷设",m,630.0,47.68,0.0,,True,False,False
9,,配管,"1.名称:钢管SC80
2.配置形式:埋地敷设",m,0.0,0.0,0.0,,True,False,False
10,,配管,"1.名称:钢管SC100
2.配置形式:埋地敷设",m,13.0,119.53,0.0,,True,False,False
11,,配管,"1.名称:电线管JDG20
2.配置形式:砖、混凝土结构暗配",m,7667.7,11.73,0.0,,True,False,False
12,,配管,"1.名称:电线管JDG25
2.配置形式:砖、混凝土结构暗配",m,7533.1,15.95,0.0,,True,False,False
